Lindley Darden, + 
Lisa Hellerstein, + 
Long-Ji Lin, + 
Lorenza Saitta, + 
Lorien Y. Pratt, + 
Maja Mataric, + 
Malini Bhandaru, + 
Mandayam T. Suraj, + 
Manfred Warmuth, + 
Marcos Salganicoff, + 
Margo Guertin, + 
Mario Marchand, + 
Mark Changizi, + 
Marko Grobelnik, + 
Mark Schwabacher, + 
Mark Staley, + 
Mark W. Craven, + 
Martinch Krikis, + 
Martin Kummer, + 
Mary Soon Lee, + 
Masayuki Inaba, + 
Matevz Kovacic, + 
Matthias Heger, + 
Melinda T. Gervasio, + 
Merrick L. Furst, + 
Michael A. meystel, + 
Michael de la Maza, + 
Michael I. Jordan, + 
Michael J. Donahue, + 
Michael Kearns, + 
Michael Littman, + 
Michael Redmond, + 
Michael W. Barley, + 
Michele Sebag, + 
Minoru Asada, + 
Mona Singh, + 
Moshe Koppel, + 
Moshe Leshno, + 
Nader Bshouty, + 
Naoki Abe, + 
Nathalie Japkowicz, + 
Neela Khan, + 
Neil Berkman, + 
Nicolas Fiechter, + 
Nicolo Cesa-Bianchi, + 
Nikolay Nikolaev, + 
Nina Mishra, + 
Nitin Indurkhya, + 
Pang-Chieh Chen, + 
Pascal Koiran, + 
Pat Langley, + 
Patricia J. Riddle, + 
Patrick M. Murphy, + 
Paul Fischer, + 
Paul Utgoff, + 
Paul Vitanyi, + 
Paul W. Goldberg, + 
Peter Bartlett, + 
Randolph Jones, + 
Reinhard Blasig, + 
Ricard Gavalda, + 
Richard A. Caruana, + 
Richard S. Sutton, + 
Rich Maclin, + 
Robert C. Holte, + 
Roberto Piola, + 
Robert P. Daley, + 
Robert Schapire, + 
Robert Sloan, + 
Robert S. Roos, + 
Robert Williamson, + 
Ronald L. Rivest, + 
Roni Khardon, + 
Ronitt Rubinfeld, + 
Ron Kohavi, + 
Russell Greiner, + 
Sally Goldman, + 
Sandra Panizza, + 
Sanjay Jain, + 
Satinder Pal Singh, + 
Sean Slattery, + 
Sebastian Seung, + 
Seth Flanders, + 
Sonya Snedecor, + 
Susan L. Epstein, + 
Takefumi Yamazaki, + 
Tal Grossman, + 
Tapio Elomaa, + 
Tatsuo Unemi, + 
Timothy P. Barber, + 
Tom Bylander, + 
Tom Fawcett, + 
Tom Hancock, + 
Tom M. Mitchell, + 
Toshiyasu Matsushima, + 
Vijay Raghavan, + 
Von-Wun Soo, + 
Wai Lam, + 
Wan P. Chiang, + 
Wee Sun Lee, + 
Welton Becket, + 
William A. Greene, + 
William Cohen, + 
William Gasarch, + 
William Sakas, + 
Wolfgang Janko, + 
Wolfgang Maass, + 
Xuemei Wang, + 
Yishay Mansour, + 
Yoav Freund, + 
Yolanda Gil, + 
Yoram Singer, + 
Yoshifumi Sakai, + 
